BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;8;13016;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;20;27344;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;48;53520;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;118;92648;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;228;67036;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;458;61952;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;5;7680;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;10;13016;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;22;27344;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;45;53520;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;89;92648;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;144;67036;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;258;61952;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;3;7680;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;6;13016;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;13;27344;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;26;53520;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;50;92648;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;74;67036;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;130;61952;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;3;7680;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;4;13016;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;10;27344;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;19;53520;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;34;92648;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;41;67036;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;67;61952;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;3;7680;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;5;13016;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;10;27344;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;20;53520;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;34;92648;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;27;67036;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;37;61952;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/010.pts;;64;0.15;10;32;6;7680;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/020.pts;;64;0.15;20;32;9;13016;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/040.pts;;64;0.15;40;32;19;27344;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/080.pts;;64;0.15;80;32;36;53520;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/160.pts;;64;0.15;160;32;61;92648;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/320.pts;;64;0.15;320;32;49;67036;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/benchmark/642.pts;;64;0.15;642;32;48;61952;
